"date","site_name","GPP","ER","depth","temp.water","day.length","discharge","shortwave","velocity","discharge_log","depth_log","velocity_log","year"
"2015-09-03","nwis_11463980",2.31023483691617,-2.31902673889382,0.328049205256602,22.46875,12.75,1.43442528084375,285.830416666667,0.350387296538001,0.360764267835396,-1.11459166582305,-1.04871617474947,2015
"2015-09-04","nwis_11463980",2.12187562527197,-2.16318363746321,0.325378581096294,21.3229166666667,12.75,1.40315876228125,286.993791666667,0.347158026430323,0.338725953863892,-1.12276590966944,-1.05797519512166,2015
"2015-09-05","nwis_11463980",2.14519699899881,-2.20233769931804,0.321142269487893,21.1697916666667,12.5,1.3544891815,284.642125,0.342043120346546,0.303424395431012,-1.135871046912,-1.07281846698267,2015
"2015-09-06","nwis_11463980",2.07450577907422,-2.13163344442268,0.320468661103479,21.371875,12.25,1.3468200354375,280.788083333333,0.341230386179628,0.297746284521351,-1.13797078867071,-1.07519741053149,2015
"2015-09-07","nwis_11463980",2.07339761778137,-2.11802588219165,0.321098996658088,21.6666666666667,12.25,1.3538992471875,279.783291666667,0.341990104376352,0.302988760486201,-1.13600580259386,-1.07297347691021,2015
"2015-09-08","nwis_11463980",2.13493126168637,-2.14832030016317,0.324027533293793,21.9135416666667,12.25,1.387525503,278.900166666667,0.345525860014934,0.327521947010073,-1.12692678749851,-1.06268779048586,2015
"2015-09-09","nwis_11463980",2.09355102656872,-2.19348247165539,0.330504041906939,22.365625,12.5,1.4636270293125,273.044333333333,0.353359342550067,0.380917621683356,-1.10713639009214,-1.04026977226253,2015
"2015-09-10","nwis_11463980",2.25139797432289,-2.32739378574511,0.337603084603272,22.5072916666667,12.75,1.55005240609375,259.197041666667,0.361969609633525,0.438288740742662,-1.08588437944404,-1.01619502196908,2015
"2015-09-11","nwis_11463980",2.31432715400402,-2.49834261432069,0.340824679969406,22.5385416666667,12.75,1.59016793934375,252.694875,0.365883923102413,0.463839632883279,-1.07638706889841,-1.00543914587687,2015
"2015-09-12","nwis_11463980",2.41549922833075,-2.78868634072681,0.343114583712854,21.7947916666667,12.75,1.61907472065625,241.638166666667,0.368669192586606,0.481854825981499,-1.06969082430014,-0.997855534090698,2015
"2015-09-13","nwis_11463980",2.56916254780324,-2.70992720095396,0.349984779139806,21.9197916666667,12.75,1.708449769,165.483208333333,0.377045246693929,0.535586391497162,-1.0498656136163,-0.975390080979901,2015
"2015-09-14","nwis_11463980",0.972919001252718,-1.66122845812247,0.358272983994888,20.321875,12,1.8199473540625,147.6295,0.387176500570708,0.598807574331044,-1.02646005803063,-0.948874616096293,2015
"2015-09-15","nwis_11463980",2.04771595007076,-2.1226275905203,0.367426293185208,19.5,12.75,1.9473731655625,234.636791666667,0.398395340600046,0.666481369844748,-1.00123254320598,-0.920310448621093,2015
"2015-09-16","nwis_11463980",1.48676622256325,-2.31938351021807,0.375610611519674,18.1291666666667,12,2.06742479815625,121.64925,0.408467659230345,0.726303773931935,-0.979202279864809,-0.895342537386914,2015
"2015-09-17","nwis_11463980",2.49782900299391,-2.63439711663906,0.382874638174787,19.890625,12.75,2.1762676788125,255.466416666667,0.417422243515218,0.777611335588231,-0.960047658851422,-0.873656995113945,2015
"2015-09-18","nwis_11463980",2.61973150327428,-2.60130906235843,0.374566147741682,20.746875,12.75,2.0512016045625,255.532333333333,0.407176356610512,0.718425769999417,-0.981986862138217,-0.898508878765278,2015
"2015-09-19","nwis_11463980",2.73204871323279,-2.66008959038475,0.372400503964034,21.2729166666667,12.75,2.0193451516875,252.808333333333,0.404510526130047,0.702773276521741,-0.987785380293261,-0.90507752025098,2015
"2015-09-20","nwis_11463980",2.73955060582126,-2.69008875837987,0.369380498523555,21.9041666666667,11.5,1.97539504540625,251.17475,0.400796111104138,0.68076840134166,-0.995928004912794,-0.914302432092542,2015
"2015-09-21","nwis_11463980",2.68612631648626,-2.66642345228511,0.367200405744943,22.2125,11.5,1.94412852684375,243.412166666667,0.398117797719606,0.66481381848433,-1.00184751526652,-0.921007343319549,2015
"2015-09-22","nwis_11463980",2.53949237034908,-2.47208721026681,0.359626075695142,21.3885416666667,11.5,1.83794035059375,243.281875,0.388823834105301,0.608645569975832,-1.02269046595705,-0.944628906563561,2015
"2015-09-23","nwis_11463980",2.31518549180505,-2.34634284042131,0.354375329654843,21.040625,11.5,1.76641081520313,241.202125,0.382394244271525,0.568949699819174,-1.03739867425761,-0.961303149509367,2015
"2015-09-24","nwis_11463980",2.16559942286386,-2.22964274963162,0.348905660775352,21.2416666666667,11.5,1.69399637834375,222.692333333333,0.375726561159769,0.527090458295907,-1.05295370628545,-0.978893631111009,2015
"2015-09-25","nwis_11463980",2.00033766578597,-2.07244251865913,0.343786165042743,21.2166666666667,11.5,1.6276287681875,232.195791666667,0.369486629572668,0.487124212208842,-1.0677354281382,-0.995640724437571,2015
"2015-09-26","nwis_11463980",1.91898307270839,-2.02099869739235,0.342678065451764,21.340625,11.5,1.6134703446875,232.585208333333,0.368137537726364,0.478387352847637,-1.07096385725135,-0.99929866681639,2015
"2015-09-27","nwis_11463980",1.8956605196406,-1.9522376607288,0.343209531926431,20.94375,11.25,1.62025458928125,215.059375,0.368784540773069,0.482583290774231,-1.0694141380756,-0.997542705821789,2015
"2015-09-28","nwis_11463980",1.7751674828822,-1.8425089396824,0.338153725046106,20.35625,11.25,1.55713161784375,227.897458333333,0.362640361169064,0.442845422255226,-1.08425467906413,-1.01434367640623,2015
"2015-09-29","nwis_11463980",1.71848911663523,-1.82841952782393,0.330016174182116,19.9229166666667,11.5,1.4577276861875,217.752916666667,0.352767923806263,0.376878843980165,-1.10861361304961,-1.04194487789936,2015
"2015-09-30","nwis_11463980",1.44578412519609,-1.45939098054829,0.329149458542365,18.6927083333333,11.25,1.44740383571875,149.873083333333,0.351718488308889,0.369771493521514,-1.11124335008748,-1.04492417247645,2015
"2015-10-01","nwis_11463980",1.68103176586687,-1.75629919178529,0.331911870124547,19.4416666666667,11.25,1.48044015721875,122.631958333333,0.35506431101726,0.392339447086544,-1.1028857967362,-1.03545634811871,2015
